"","Year","Country","Winner","Runners-Up","Third","Fourth","GoalsScored","QualifiedTeams","MatchesPlayed","Attendance"
"1",1930,"Uruguay","Uruguay","Argentina","USA","Yugoslavia",70,13,18,590549
"2",1934,"Italy","Italy","Czechoslovakia","Germany","Austria",70,16,17,363000
"3",1938,"France","Italy","Hungary","Brazil","Sweden",84,15,18,375700
"4",1950,"Brazil","Uruguay","Brazil","Sweden","Spain",88,13,22,1045246
"5",1954,"Switzerland","Germany","Hungary","Austria","Uruguay",140,16,26,768607
"6",1958,"Sweden","Brazil","Sweden","France","Germany",126,16,35,819810
"7",1962,"Chile","Brazil","Czechoslovakia","Chile","Yugoslavia",89,16,32,893172
"8",1966,"England","England","Germany","Portugal","Soviet Union",89,16,32,1563135
"9",1970,"Mexico","Brazil","Italy","Germany","Uruguay",95,16,32,1603975
"10",1974,"Germany","Germany","Netherlands","Poland","Brazil",97,16,38,1865753
"11",1978,"Argentina","Argentina","Netherlands","Brazil","Italy",102,16,38,1545791
"12",1982,"Spain","Italy","Germany","Poland","France",146,24,52,2109723
"13",1986,"Mexico","Argentina","Germany","France","Belgium",132,24,52,2394031
"14",1990,"Italy","Germany","Argentina","Italy","England",115,24,52,2516215
"15",1994,"USA","Brazil","Italy","Sweden","Bulgaria",141,24,52,3587538
"16",1998,"France","France","Brazil","Croatia","Netherlands",171,32,64,2785100
"17",2002,"Korea/Japan","Brazil","Germany","Turkey","Korea Republic",161,32,64,2705197
"18",2006,"Germany","Italy","France","Germany","Portugal",147,32,64,3359439
"19",2010,"South Africa","Spain","Netherlands","Germany","Uruguay",145,32,64,3178856
"20",2014,"Brazil","Germany","Argentina","Netherlands","Brazil",171,32,64,3386810
